,type,year,party,vague_score,decade,subj_score,emot_score
0,manifesto,1945-01-01,LAB,0.17440312276437997,1940,0.09738398642800052,0.1727815341694281
1,manifesto,1945-01-01,CON,0.1787313956109351,1940,0.10381257301611425,0.17570402302925694
2,manifesto,1945-01-01,LIB,0.17640963678209498,1940,0.07610994786321272,0.17955810967445066
3,manifesto,1950-01-01,LAB,0.1744306950363871,1950,0.07856476884118309,0.1717119091691543
4,manifesto,1950-01-01,CON,0.17638406813055274,1950,0.11077097049911457,0.1806903900135316
5,manifesto,1950-01-01,LIB,0.17797630338594414,1950,0.12762009426318205,0.16388426061807057
6,manifesto,1951-01-01,LAB,0.18145873023424944,1950,0.11574984252511454,0.1647917953770717
7,manifesto,1951-01-01,CON,0.1791900113388468,1950,0.1035860857508848,0.1663525754171993
8,manifesto,1951-01-01,LIB,0.17760101182682328,1950,0.08851582829179244,0.1723286832951797
9,manifesto,1955-01-01,LAB,0.17664728826567305,1950,0.09391518877605934,0.1682751461109676
10,manifesto,1955-01-01,CON,0.17852179186795816,1950,0.11098530197875921,0.17299367446863254
11,manifesto,1955-01-01,LIB,0.17583227913515145,1950,0.12785282134238143,0.17778830393517225
12,manifesto,1959-01-01,LAB,0.17629395895232233,1950,0.07791831116222427,0.1788662815151972
13,manifesto,1959-01-01,CON,0.17902031254127163,1950,0.11267328748372561,0.17530492394043048
14,manifesto,1959-01-01,LIB,0.17711177358252173,1950,0.1294602068557178,0.1728525294565914
15,manifesto,1964-01-01,LAB,0.1749103409297809,1960,0.09844647648237598,0.17014855564829737
16,manifesto,1964-01-01,CON,0.17869033976196733,1960,0.0974659950510207,0.1709808865659142
17,manifesto,1964-01-01,LIB,0.17743678666352247,1960,0.09561944334428973,0.16462011794677703
18,manifesto,1966-01-01,LAB,0.1777013236279996,1960,0.09867394761165331,0.1640033910598056
19,manifesto,1966-01-01,CON,0.17694764141710828,1960,0.07704823496112957,0.17116224974577465
20,manifesto,1966-01-01,LIB,0.1780319089261782,1960,0.0977336348443773,0.1609809829412969
21,manifesto,1970-06-18,LAB,0.1834344583686212,1970,0.09013657000237918,0.1630772452969077
22,manifesto,1970-06-18,CON,0.1761228667559145,1970,0.1026942421726897,0.17350132222993553
23,manifesto,1970-06-18,LIB,0.17847548624177234,1970,0.08860165037163291,0.16965746165443707
