,person_id,redirect_id,first_name,family_name,party,constituency
0,uk.org.publicwhip/person/10001,,Diane,Abbott,Labour,Hackney North and Stoke Newington
1,uk.org.publicwhip/person/10002,,Gerry,Adams,,
2,uk.org.publicwhip/person/10003,,Irene,Adams,,
3,uk.org.publicwhip/person/10004,,Nick,Ainger,,
4,uk.org.publicwhip/person/10005,,Bob,Ainsworth,Labour,Coventry North East
5,uk.org.publicwhip/person/10006,,Peter,Ainsworth,,
6,uk.org.publicwhip/person/10007,,Richard Beecroft,Allan,,
7,uk.org.publicwhip/person/10008,,Graham,Allen,Labour,Nottingham North
8,uk.org.publicwhip/person/10009,,David,Amess,Conservative,Southend West
9,uk.org.publicwhip/person/10010,,Michael Andrew Foster Jude Kerr,Ancram,,
10,uk.org.publicwhip/person/10011,,Donald,Anderson,,
11,uk.org.publicwhip/person/10012,,Janet,Anderson,,
12,uk.org.publicwhip/person/10013,,James,Arbuthnot,Conservative,North East Hampshire
13,uk.org.publicwhip/person/10014,,Hilary Jane,Armstrong,,
14,uk.org.publicwhip/person/10015,,Paddy,Ashdown,,
15,uk.org.publicwhip/person/10016,,Joe,Ashton,,
16,uk.org.publicwhip/person/10017,,Candy,Atherton,,
17,uk.org.publicwhip/person/10018,,Charlotte,Atkins,,
18,uk.org.publicwhip/person/10019,,David,Atkinson,,
19,uk.org.publicwhip/person/10020,,Peter,Atkinson,,
20,uk.org.publicwhip/person/10021,,John,Austin-Walker,,
21,uk.org.publicwhip/person/10022,,Norman,Baker,Liberal Democrat,Lewes
22,uk.org.publicwhip/person/10023,,Tony,Baldry,Conservative,Banbury
23,uk.org.publicwhip/person/10024,,Jackie,Ballard,,
24,uk.org.publicwhip/person/10025,,Tony,Banks,,
25,uk.org.publicwhip/person/10026,,Harry,Barnes,,
26,uk.org.publicwhip/person/10027,,Kevin,Barron,Labour,Rother Valley
27,uk.org.publicwhip/person/10028,,John,Battle,,
28,uk.org.publicwhip/person/10029,,Hugh,Bayley,Labour,York Central
29,uk.org.publicwhip/person/10030,,Nigel,Beard,,
30,uk.org.publicwhip/person/10031,,Margaret,Beckett,Labour,Derby South
31,uk.org.publicwhip/person/10032,,Anne,Begg,Labour,Aberdeen South
32,uk.org.publicwhip/person/10033,,Roy,Beggs,,
33,uk.org.publicwhip/person/10034,,Alan James,Beith,Liberal Democrat,Berwick-upon-Tweed
34,uk.org.publicwhip/person/10035,,Martin,Bell,,
35,uk.org.publicwhip/person/10036,,Stuart,Bell,,
36,uk.org.publicwhip/person/10037,,Tony,Benn,,
37,uk.org.publicwhip/person/10038,,Andrew,Bennett,,
38,uk.org.publicwhip/person/10039,,Joe,Benton,Labour,Bootle
39,uk.org.publicwhip/person/10040,,John,Bercow,Speaker,Buckingham
40,uk.org.publicwhip/person/10041,,Paul,Beresford,Conservative,Mole Valley
41,uk.org.publicwhip/person/10042,,Gerry,Bermingham,,
42,uk.org.publicwhip/person/10043,,Roger,Berry,,
