,date
0,1979-05-24
1,1979-05-22
3,1979-06-28
4,1979-06-26
6,1979-06-21
7,1979-06-14
8,1979-06-12
9,1979-07-24
10,1979-07-19
11,1979-07-17
12,1979-07-12
14,1979-07-10
16,1979-07-05
17,1979-10-30
19,1979-10-25
20,1979-10-23
21,1979-11-29
23,1979-11-27
25,1979-11-22
27,1979-11-20
28,1979-11-15
30,1979-11-13
31,1979-11-08
33,1979-11-06
34,1979-11-01
35,1979-10-31
36,1979-12-18
38,1979-12-13
39,1979-12-11
41,1979-12-06
42,1979-12-04
43,1980-01-22
44,1980-01-17
45,1980-01-15
46,1980-02-26
48,1980-02-21
49,1980-02-19
50,1980-02-14
51,1980-02-12
52,1980-02-07
53,1980-02-05
54,1980-01-31
56,1980-01-29
57,1980-03-27
58,1980-03-25
59,1980-03-20
61,1980-03-18
62,1980-03-06
63,1980-03-04
65,1980-02-28
67,1980-04-24
69,1980-04-22
70,1980-04-17
71,1980-04-15
72,1980-04-03
74,1980-04-01
75,1980-05-15
76,1980-05-13
77,1980-05-08
79,1980-05-06
81,1980-05-01
82,1980-04-29
84,1980-06-26
85,1980-06-24
86,1980-06-19
87,1980-06-17
88,1980-06-12
89,1980-06-10
91,1980-07-24
92,1980-07-22
93,1980-07-17
94,1980-07-15
96,1980-07-10
98,1980-07-08
99,1980-07-03
101,1980-07-01
103,1980-08-07
105,1980-07-31
107,1980-07-29
108,1980-11-13
109,1980-11-11
111,1980-11-06
112,1980-11-04
114,1980-10-30
115,1980-10-28
116,1980-12-18
117,1980-12-16
118,1980-12-11
120,1980-12-09
121,1980-12-04
122,1980-12-02
123,1980-11-27
125,1980-11-25
127,1981-01-22
128,1981-01-20
130,1981-01-15
131,1981-01-13
132,1981-02-19
133,1981-02-17
134,1981-02-12
135,1981-02-10
136,1981-02-05
137,1981-02-03
138,1981-01-29
140,1981-01-27
141,1981-03-19
142,1981-03-17
143,1981-03-12
144,1981-03-10
145,1981-03-05
146,1981-03-03
147,1981-03-02
148,1981-02-26
149,1981-02-24
150,1981-04-16
151,1981-04-14
152,1981-04-09
153,1981-04-07
154,1981-03-31
155,1981-03-26
156,1981-03-24
157,1981-05-21
158,1981-05-19
159,1981-05-14
160,1981-05-12
161,1981-05-07
162,1981-05-05
163,1981-04-30
164,1981-04-28
165,1981-06-04
166,1981-06-02
167,1981-07-21
168,1981-07-16
169,1981-07-14
170,1981-07-09
171,1981-07-07
172,1981-07-02
173,1981-06-30
174,1981-06-25
175,1981-06-23
176,1981-07-30
177,1981-07-28
178,1981-07-23
179,1981-11-17
180,1981-11-12
181,1981-11-10
182,1981-12-17
183,1981-12-15
184,1981-12-10
185,1981-12-08
186,1981-12-03
187,1981-12-01
188,1981-11-26
189,1981-11-24
190,1981-11-19
191,1981-12-22
192,1982-02-16
193,1982-02-09
194,1982-02-02
195,1982-01-28
196,1982-01-26
197,1982-01-21
198,1982-01-19
199,1982-03-18
200,1982-03-16
201,1982-03-11
202,1982-03-09
203,1982-03-02
204,1982-02-25
205,1982-02-23
206,1982-02-18
207,1982-04-11
208,1982-04-08
209,1982-04-06
210,1982-04-04
211,1982-04-01
212,1982-03-30
213,1982-03-25
214,1982-03-23
215,1982-05-13
216,1982-05-11
217,1982-05-06
218,1982-05-04
219,1982-04-29
220,1982-04-27
221,1982-04-22
222,1982-04-20
223,1982-06-15
224,1982-06-10
225,1982-06-08
226,1982-06-01
227,1982-05-27
228,1982-05-25
229,1982-05-20
230,1982-05-18
231,1982-07-15
232,1982-07-13
233,1982-07-08
234,1982-07-06
235,1982-06-29
236,1982-06-28
237,1982-06-24
238,1982-06-22
239,1982-06-17
240,1982-07-29
241,1982-07-27
242,1982-07-22
243,1982-07-20
244,1982-11-11
245,1982-11-09
246,1982-10-26
247,1982-10-21
248,1982-10-19
249,1982-12-09
250,1982-12-07
251,1982-12-02
252,1982-11-30
253,1982-11-25
254,1982-11-23
255,1982-11-18
256,1982-11-16
257,1982-12-23
258,1982-12-21
259,1982-12-16
260,1982-12-14
261,1983-02-10
262,1983-02-08
263,1983-02-07
264,1983-02-03
265,1983-02-01
266,1983-01-27
267,1983-01-25
268,1983-01-20
269,1983-01-18
270,1983-03-10
271,1983-03-08
272,1983-03-03
273,1983-03-01
274,1983-02-24
275,1983-02-22
276,1983-02-17
277,1983-02-15
278,1983-04-12
279,1983-03-31
280,1983-03-29
281,1983-03-24
282,1983-03-22
283,1983-03-17
284,1983-03-15
285,1983-05-12
286,1983-05-10
287,1983-05-05
288,1983-05-03
289,1983-04-28
290,1983-04-26
291,1983-04-21
292,1983-04-19
293,1983-04-14
294,1983-07-07
295,1983-07-05
296,1983-06-30
297,1983-06-28
298,1983-07-28
299,1983-07-26
300,1983-07-21
301,1983-07-19
302,1983-07-14
303,1983-07-12
304,1983-11-08
305,1983-11-03
306,1983-11-01
307,1983-10-27
