,date
0,1902-06-18
1,1902-07-14
2,1904-03-03
3,1905-04-05
4,1906-02-28
5,1908-11-09
6,1909-07-08
7,1909-06-29
8,1909-07-28
9,1909-07-26
10,1911-07-24
11,1912-03-01
12,1912-11-12
13,1913-02-11
14,1913-06-05
15,1914-04-14
16,1914-04-02
17,1914-03-30
18,1914-03-27
19,1914-03-26
20,1914-04-23
21,1914-08-05
22,1914-07-31
23,1914-07-20
24,1914-08-27
25,1915-02-22
26,1915-05-10
27,1915-05-06
28,1915-06-07
29,1915-05-19
30,1915-05-13
31,1915-06-14
32,1916-06-29
33,1916-08-02
34,1916-11-07
35,1916-12-14
36,1916-12-04
37,1918-04-29
38,1918-11-05
39,1919-06-05
40,1919-07-03
41,1919-08-13
42,1919-08-05
43,1919-08-04
44,1919-07-21
45,1919-11-13
46,1919-11-10
47,1919-11-05
48,1919-10-30
49,1919-12-15
50,1919-11-20
51,1919-12-18
52,1920-02-12
53,1920-03-15
54,1920-03-11
55,1920-03-08
56,1920-04-15
57,1920-03-25
58,1920-08-10
59,1920-11-11
60,1920-11-18
61,1922-04-06
62,1922-05-25
63,1922-11-27
64,1923-03-26
65,1924-03-05
66,1924-05-28
67,1924-07-02
68,1925-07-20
69,1926-05-13
70,1926-06-29
71,1929-07-22
72,1930-03-03
73,1930-06-19
74,1931-05-14
75,1934-07-30
76,1936-11-26
77,1936-11-18
78,1937-04-29
79,1937-06-03
80,1937-05-31
81,1937-11-03
82,1938-05-23
83,1938-12-07
84,1938-12-06
85,1938-11-30
86,1938-11-21
87,1938-11-17
88,1938-11-10
89,1939-01-31
90,1939-02-07
91,1940-04-02
92,1943-09-21
93,1943-12-16
94,1944-01-18
95,1944-06-15
96,1944-10-09
97,1944-11-14
98,1945-01-31
99,1945-01-17
100,1946-03-05
101,1948-01-21
102,1950-12-01
103,1951-01-29
104,1951-01-24
105,1951-07-02
106,1951-11-20
107,1951-11-19
108,1953-11-30
109,1954-05-20
110,1954-07-13
111,1954-07-08
112,1954-07-06
113,1954-06-22
114,1954-07-29
115,1954-12-14
116,1955-03-03
117,1955-02-17
118,1955-04-06
119,1955-04-05
120,1955-03-24
122,1955-11-08
123,1955-12-05
124,1955-11-15
125,1956-06-26
126,1956-07-10
127,1956-11-13
128,1956-12-13
129,1956-12-06
130,1957-01-31
131,1957-01-22
132,1957-02-26
133,1957-02-18
134,1957-02-14
135,1957-02-12
136,1957-02-11
137,1957-02-07
138,1957-03-18
139,1957-03-05
140,1957-05-16
141,1957-07-30
142,1957-07-25
143,1957-07-09
144,1957-10-29
145,1958-03-20
147,1958-03-17
148,1958-05-15
149,1958-06-17
150,1958-11-18
151,1959-02-17
152,1959-02-12
153,1959-02-10
154,1959-02-05
155,1959-02-04
156,1959-02-02
157,1959-01-27
158,1959-01-22
159,1959-03-16
160,1959-03-04
161,1959-04-15
162,1959-03-25
163,1959-05-06
164,1959-07-16
165,1959-07-21
166,1959-11-12
167,1960-03-10
168,1960-03-08
169,1960-02-23
170,1960-04-12
171,1960-04-01
172,1960-03-31
173,1960-11-02
175,1960-12-15
176,1961-02-08
177,1961-01-24
178,1961-02-16
179,1961-02-14
181,1961-03-23
182,1961-04-27
183,1961-06-08
184,1961-08-03
185,1961-07-18
187,1961-10-24
188,1961-11-21
189,1961-12-21
190,1961-12-14
191,1962-02-15
192,1962-02-13
193,1962-02-06
194,1962-04-05
195,1962-03-22
196,1962-03-20
197,1962-03-13
198,1962-05-03
201,1962-04-19
202,1962-04-17
203,1962-05-08
204,1962-05-29
206,1962-06-07
208,1962-06-05
210,1962-07-31
211,1962-07-10
212,1962-12-18
213,1962-12-11
214,1963-01-24
215,1963-02-26
216,1963-02-14
217,1963-02-12
218,1963-05-21
219,1963-05-07
220,1963-06-27
221,1963-07-11
222,1963-07-04
223,1963-12-17
224,1963-12-10
226,1963-11-28
227,1964-01-16
229,1964-01-14
230,1964-02-18
231,1964-02-11
232,1964-01-30
233,1964-01-28
234,1964-02-27
235,1964-03-26
236,1964-06-18
237,1964-06-11
238,1964-06-09
239,1964-07-02
240,1964-06-25
241,1964-07-31
242,1964-07-30
243,1964-11-17
244,1964-12-17
246,1964-12-15
247,1964-12-10
248,1964-12-01
249,1964-11-26
250,1964-11-24
251,1965-01-19
252,1965-02-18
253,1965-02-10
254,1965-02-09
255,1965-02-02
256,1965-01-22
257,1965-03-11
258,1965-02-23
259,1965-04-06
260,1965-03-25
261,1965-03-23
263,1965-04-27
264,1965-07-27
265,1965-11-04
267,1965-11-18
268,1965-11-16
269,1965-12-21
270,1966-03-08
271,1966-03-01
272,1966-02-15
273,1966-04-26
275,1966-05-24
276,1966-05-17
277,1966-07-12
278,1966-08-11
279,1966-08-04
280,1966-07-19
281,1966-07-14
283,1966-11-10
284,1966-12-06
285,1966-12-15
286,1966-12-14
287,1967-01-26
289,1967-01-19
290,1967-03-09
292,1967-02-28
295,1967-02-23
296,1967-02-21
297,1967-02-16
