speech_date,suffix
1945-01-16,a
1945-01-17,a
1945-01-18,a
1945-01-19,a
1945-01-23,a
1945-01-24,a
1945-01-25,a
1945-01-26,a
1945-01-30,a
1945-01-31,a
1945-02-01,a
1945-02-02,a
1945-02-06,a
1945-02-07,a
1945-02-08,a
1945-02-09,a
1945-02-13,a
1945-02-14,a
1945-02-15,a
1945-02-16,a
1945-02-20,a
1945-02-21,a
1945-02-22,a
1945-02-23,a
1945-02-27,a
1945-02-28,a
1945-03-01,a
1945-03-02,a
1945-03-06,a
1945-03-07,a
1945-03-08,a
1945-03-09,a
1945-03-13,a
1945-03-14,a
1945-03-15,a
1945-03-16,a
1945-03-20,a
1945-03-21,a
1945-03-22,a
1945-03-23,a
1945-03-27,a
1945-03-28,a
1945-03-29,a
1945-04-10,a
1945-04-11,a
1945-04-12,a
1945-04-13,a
1945-05-29,a
1945-05-30,a
1945-05-31,a
1945-06-01,a
1945-06-04,a
1945-06-05,a
1945-06-06,a
1945-06-07,a
1945-06-08,a
1945-06-11,a
1945-06-12,a
1945-06-13,a
1945-06-14,a
1945-06-15,a
1945-08-01,a
1945-08-02,a
1945-08-03,a
1945-08-15,a
1945-08-16,a
1945-08-17,a
1945-08-20,a
1945-08-21,a
1945-08-22,a
1945-08-23,a
1945-08-24,a
1945-10-09,a
1945-10-10,a
1945-10-11,a
1945-10-12,a
1945-10-15,a
1945-10-16,a
1945-10-17,a
1945-10-18,a
1945-10-19,a
1945-10-22,a
1945-10-23,a
1945-10-24,a
1945-10-25,a
1945-10-26,a
1945-10-29,a
1945-10-30,a
1945-10-31,a
1945-11-01,a
1945-11-02,a
1945-11-05,a
1945-11-06,a
1945-11-07,a
1945-11-08,a
1945-11-09,a
1945-11-12,a
1945-11-13,a
1945-11-14,a
1945-11-15,a
1945-11-16,a
1945-11-19,a
1945-11-20,a
1945-11-21,a
1945-11-22,a
1945-11-23,a
1945-11-26,a
1945-11-27,a
1945-11-28,a
1945-11-29,a
1945-11-30,a
1945-12-03,a
1945-12-04,a
1945-12-05,a
1945-12-06,a
1945-12-07,a
1945-12-10,a
1945-12-11,a
1945-12-12,a
1945-12-13,a
1945-12-14,a
1945-12-17,a
1945-12-18,a
1945-12-19,a
1945-12-20,a
1946-02-11,a
1946-02-12,a
1946-02-13,a
1946-02-14,a
1946-02-15,a
1946-02-18,a
1946-02-19,a
1946-02-20,a
1946-02-21,a
1946-02-22,a
1946-02-25,a
1946-02-26,a
1946-02-27,a
1946-02-28,a
1946-03-01,a
1946-03-04,a
1946-03-05,a
1946-03-06,a
1946-03-07,a
1946-03-08,a
1946-03-12,a
1946-03-13,a
1946-03-14,a
1946-03-15,a
1946-03-18,a
1946-03-19,a
1946-03-20,a
1946-03-21,a
1946-03-22,a
1946-04-30,a
1946-05-01,a
1946-05-02,a
1946-05-03,a
1946-05-06,a
1946-05-08,a
1946-05-09,a
1946-05-10,a
1946-05-13,a
1946-05-14,a
1946-05-15,a
1946-05-16,a
1946-05-17,a
1946-05-20,a
1946-05-21,a
1946-05-22,a
1946-05-23,a
1946-05-24,a
1946-05-27,a
1946-05-28,a
1946-05-29,a
1946-05-30,a
1946-05-31,a
1946-06-03,a
1946-06-04,a
1946-06-05,a
1946-06-06,a
1946-06-07,a
1946-07-08,a
1946-07-09,a
1946-07-10,a
1946-07-11,a
1946-07-12,a
1946-07-15,a
1946-07-16,a
1946-07-17,a
1946-07-18,a
1946-07-19,a
1946-07-22,a
1946-07-23,a
1946-07-24,a
1946-07-25,a
1946-07-26,a
